中央电视台,#genre#
CCTV-1,http://27.148.240.138/PLTV/88888888/224/3221226773/1.m3u8
CCTV-2,http://27.148.240.138/PLTV/88888888/224/3221226788/1.m3u8
CCTV-3,http://27.148.240.138/PLTV/88888888/224/3221227317/1.m3u8
CCTV-4,http://27.148.240.138/PLTV/88888888/224/3221227331/1.m3u8
CCTV-5,http://27.148.240.138/PLTV/88888888/224/3221227254/1.m3u8
CCTV-5+,http://27.148.240.138/PLTV/88888888/224/3221226850/1.m3u8
CCTV-6,http://27.148.240.138/PLTV/88888888/224/3221227124/1.m3u8
CCTV-7,http://27.148.240.138/PLTV/88888888/224/3221227258/1.m3u8
CCTV-8,http://27.148.240.138/PLTV/88888888/224/3221227348/1.m3u8
CCTV-9,http://27.148.240.138/PLTV/88888888/224/3221226849/1.m3u8
CCTV-10,http://27.148.240.138/PLTV/88888888/224/3221226779/1.m3u8
CCTV11,http://27.148.240.185/PLTV/88888888/224/3221226888/1.m3u8
CCTV-12,http://27.148.240.138/PLTV/88888888/224/3221226792/1.m3u8
CCTV-13,http://27.148.240.138/PLTV/88888888/224/3221226769/1.m3u8
CCTV-14,http://27.148.240.138/PLTV/88888888/224/3221226762/1.m3u8
CCTV-15,http://27.148.240.138/PLTV/88888888/224/3221226775/1.m3u8
CCTV-16,http://27.148.240.138/PLTV/88888888/224/3221227352/1.m3u8
CCTV-17,http://27.148.240.138/PLTV/88888888/224/3221227055/1.m3u8
CCTV-4K,http://27.148.240.138/PLTV/88888888/224/3221227333/1.m3u8
地方卫视,#genre#
北京卫视,http://27.148.240.138/PLTV/88888888/224/3221227310/1.m3u8
广东卫视,http://27.148.240.138/PLTV/88888888/224/3221227404/1.m3u8
深圳卫视,http://27.148.240.138/PLTV/88888888/224/3221227408/1.m3u8
东南卫视,http://27.148.240.138/PLTV/88888888/224/3221226754/1.m3u8
厦门卫视,http://27.148.240.138/PLTV/88888888/224/3221226744/1.m3u8
安徽卫视,http://27.148.240.138/PLTV/88888888/224/3221227301/1.m3u8
北京卫视,http://27.148.240.138/PLTV/88888888/224/3221227234/1.m3u8
兵团卫视,http://27.148.240.138/PLTV/88888888/224/3221227381/1.m3u8
东方卫视,http://27.148.240.138/PLTV/88888888/224/3221227281/1.m3u8
甘肃卫视,http://27.148.240.138/PLTV/88888888/224/3221227246/1.m3u8
广东卫视,http://27.148.240.138/PLTV/88888888/224/3221227218/1.m3u8
广西卫视,http://27.148.240.138/PLTV/88888888/224/3221227328/1.m3u8
贵州卫视,http://27.148.240.138/PLTV/88888888/224/3221227277/1.m3u8
海南卫视,http://27.148.240.138/PLTV/88888888/224/3221226830/1.m3u8
河北卫视,http://27.148.240.138/PLTV/88888888/224/3221227316/1.m3u8
河南卫视,http://27.148.240.138/PLTV/88888888/224/3221227308/1.m3u8
黑龙江卫视,http://27.148.240.138/PLTV/88888888/224/3221227319/1.m3u8
湖北卫视,http://27.148.240.138/PLTV/88888888/224/3221227230/1.m3u8
湖南卫视,http://27.148.240.138/PLTV/88888888/224/3221227238/1.m3u8
吉林卫视,http://27.148.240.138/PLTV/88888888/224/3221227273/1.m3u8
江苏卫视,http://27.148.240.138/PLTV/88888888/224/3221227312/1.m3u8
江西卫视,http://27.148.240.138/PLTV/88888888/224/3221227304/1.m3u8
辽宁卫视,http://27.148.240.138/PLTV/88888888/224/3221227242/1.m3u8
内蒙古卫视,http://27.148.240.138/PLTV/88888888/224/3221227463/1.m3u8
宁夏卫视,http://27.148.240.138/PLTV/88888888/224/3221227305/1.m3u8
青海卫视,http://27.148.240.138/PLTV/88888888/224/3221227327/1.m3u8
三沙卫视,http://27.148.240.138/PLTV/88888888/224/3221227072/1.m3u8
山东卫视,http://27.148.240.138/PLTV/88888888/224/3221227300/1.m3u8
